         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19811    0.021    0.000    0.021    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.020    0.020 window_commands.py:163(run)
        1    0.000    0.000    0.020    0.020 __init__.py:64(run)
        1    0.000    0.000    0.020    0.020 base.py:122(run)
      340    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     1799    0.006    0.000    0.020    0.000 tilemap.py:331(_get_tile_by_gid)
      340    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.019    0.019 main_menu.py:1(<module>)
     2314    0.011    0.000    0.019    0.000 pathlib.py:55(parse_parts)
     2216    0.005    0.000    0.017    0.000 copy.py:66(copy)
      381    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.017    0.017 constructs.py:1(<module>)
        4    0.000    0.000    0.016    0.004 xlib.py:65(step)
        3    0.016    0.005    0.016    0.005 {built-in method select.select}
        1    0.000    0.000    0.016    0.016 parser.py:1(<module>)
        3    0.000    0.000    0.015    0.005 tiled_map.py:1(<module>)
 1016/508    0.002    0.000    0.015    0.000 copy.py:210(_deepcopy_tuple)
        1    0.000    0.000    0.015    0.015 libavcodec.py:1(<module>)
        1    0.000    0.000    0.015    0.015 texture_atlas.py:1(<module>)
     3465    0.004    0.000    0.015    0.000 PngImagePlugin.py:201(call)
       14    0.000    0.000    0.015    0.001 __init__.py:173(search)
        2    0.000    0.000    0.014    0.007 lib.py:1(<module>)
     4018    0.001    0.000    0.014    0.000 pathlib.py:1009(stat)
 1016/508    0.002    0.000    0.014    0.000 copy.py:211(<listcomp>)
      323    0.000    0.000    0.014    0.000 Image.py:1322(getbbox)
        3    0.000    0.000    0.014    0.005 texture.py:1(<module>)
      287    0.011    0.000    0.014    0.000 texture.py:649(write)
      323    0.014    0.000    0.014    0.000 {method 'getbbox' of 'ImagingCore' objects}
        1    0.000    0.000    0.014    0.014 texture_atlas.py:658(resize)
        1    0.000    0.000    0.013    0.013 gl.py:1(<module>)
      360    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      360    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      956    0.001    0.000    0.013    0.000 __init__.py:272(_compile)
       38    0.000    0.000    0.012    0.000 _make.py:641(__init__)
       38    0.000    0.000    0.012    0.000 _make.py:471(_transform_attrs)
      315    0.000    0.000    0.012    0.000 PngImagePlugin.py:940(load_prepare)
    12784    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
      508    0.001    0.000    0.012    0.000 copy.py:227(_deepcopy_dict)
       15    0.012    0.001    0.012    0.001 {method 'search' of 're.Pattern' objects}
      315    0.001    0.000    0.012    0.000 ImageFile.py:292(load_prepare)
       56    0.000    0.000    0.012    0.000 _compiler.py:738(compile)
     2927    0.006    0.000    0.011    0.000 Image.py:1236(_crop)
        2    0.000    0.000    0.011    0.006 base.py:134(get_best_config)
        2    0.000    0.000    0.011    0.006 xlib.py:180(get_matching_configs)
        2    0.006    0.003    0.011    0.006 xlib.py:16(match)
        3    0.000    0.000    0.011    0.004 tileset.py:1(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:131(add_default_codecs)
      459    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.010    0.010 context.py:45(__init__)
      161    0.000    0.000    0.010    0.000 _make.py:290(_compile_and_eval)
     3599    0.002    0.000    0.010    0.000 texture_atlas.py:650(has_texture)
  371/370    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.010    0.010 xlib_vidmoderestore.py:1(<module>)
      210    0.010    0.000    0.010    0.000 {built-in method builtins.compile}
       11    0.000    0.000    0.010    0.001 context.py:343(load_program)
    26806    0.007    0.000    0.009    0.000 {built-in method builtins.getattr}
