         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 autogeometry.py:1(<module>)
      471    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      300    0.000    0.000    0.000    0.000 _make.py:1073(_add_method_dunders)
      530    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 body.py:37(Body)
       14    0.000    0.000    0.000    0.000 subprocess.py:1090(__exit__)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       19    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
        3    0.000    0.000    0.000    0.000 __init__.py:43(get_display)
        1    0.000    0.000    0.000    0.000 sprite_list.py:1(<module>)
      101    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        1    0.000    0.000    0.000    0.000 common_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 window_commands.py:28(get_display_size)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        8    0.000    0.000    0.000    0.000 glx_info.py:45(have_version)
     1215    0.000    0.000    0.000    0.000 typing.py:1342(__eq__)
       37    0.000    0.000    0.000    0.000 _make.py:1027(add_order)
     1087    0.000    0.000    0.000    0.000 _parser.py:247(match)
       14    0.000    0.000    0.000    0.000 subprocess.py:1280(_close_pipe_fds)
    62/34    0.000    0.000    0.000    0.000 typing.py:1472(__repr__)
       24    0.000    0.000    0.000    0.000 vertex_array.py:429(__init__)
        1    0.000    0.000    0.000    0.000 context.py:27(Context)
   222/97    0.000    0.000    0.000    0.000 typing.py:224(_type_repr)
        1    0.000    0.000    0.000    0.000 __init__.py:197(UIWidget)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
      870    0.000    0.000    0.000    0.000 _parser.py:170(append)
        1    0.000    0.000    0.000    0.000 tilemap.py:94(TileMap)
        1    0.000    0.000    0.000    0.000 context.py:1118(__init__)
   113/71    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       24    0.000    0.000    0.000    0.000 _make.py:758(_patch_original_class)
      315    0.000    0.000    0.000    0.000 ImagePalette.py:84(getdata)
       11    0.000    0.000    0.000    0.000 context.py:395(<listcomp>)
        1    0.000    0.000    0.000    0.000 pymunk_physics_engine.py:1(<module>)
       13    0.000    0.000    0.000    0.000 util.py:39(check_format)
        1    0.000    0.000    0.000    0.000 draw_commands.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transform.py:1(<module>)
  348/308    0.000    0.000    0.000    0.000 typing.py:1348(__hash__)
       59    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       46    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
     2485    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      315    0.000    0.000    0.000    0.000 _util.py:5(is_path)
        1    0.000    0.000    0.000    0.000 setters.py:1(<module>)
      182    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
       25    0.000    0.000    0.000    0.000 texture.py:492(filter)
       24    0.000    0.000    0.000    0.000 __init__.py:178(sub)
     2537    0.000    0.000    0.000    0.000 texture_atlas.py:289(width)
      194    0.000    0.000    0.000    0.000 enum.py:689(__call__)
        1    0.000    0.000    0.000    0.000 document.py:226(AbstractDocument)
        1    0.000    0.000    0.000    0.000 paths.py:1(<module>)
        1    0.000    0.000    0.000    0.000 caret.py:1(<module>)
        1    0.000    0.000    0.000    0.000 style.py:1(<module>)
       42    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.000    0.000 wang_set.py:91(parse)
      945    0.000    0.000    0.000    0.000 ImagePalette.py:52(palette)
      630    0.000    0.000    0.000    0.000 Image.py:525(__getattr__)
      630    0.000    0.000    0.000    0.000 PngImagePlugin.py:378(check_text_memory)
      319    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 vertexbuffer.py:1(<module>)
      287    0.000    0.000    0.000    0.000 texture.py:711(_validate_data_size)
        2    0.000    0.000    0.000    0.000 geometry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:108(__init__)
      315    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
       11    0.000    0.000    0.000    0.000 freetype.py:337(_copy_font_data)
        1    0.000    0.000    0.000    0.000 vertex_array.py:1(<module>)
       43    0.000    0.000    0.000    0.000 program.py:439(_query_uniform)
       97    0.000    0.000    0.000    0.000 typing.py:1621(<genexpr>)
     1799    0.000    0.000    0.000    0.000 texture.py:318(height)
       25    0.000    0.000    0.000    0.000 uniform.py:102(__init__)
        1    0.000    0.000    0.000    0.000 caret.py:24(Caret)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__getattr__)
        1    0.000    0.000    0.000    0.000 space_debug_draw_options.py:44(SpaceDebugDrawOptions)
     2395    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 application.py:54(Window)
        1    0.000    0.000    0.000    0.000 vec2d.py:1(<module>)
     2314    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      819    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(exec_module)
     2795    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        3    0.000    0.000    0.000    0.000 _make.py:1820(_add_eq)
     1641    0.000    0.000    0.000    0.000 texture.py:288(image_data)
     2537    0.000    0.000    0.000    0.000 texture_atlas.py:298(height)
       18    0.000    0.000    0.000    0.000 texture_atlas.py:782(use_uv_texture)
       16    0.000    0.000    0.000    0.000 typing.py:2794(<dictcomp>)
        1    0.000    0.000    0.000    0.000 texture_atlas.py:171(TextureAtlas)
    62/34    0.000    0.000    0.000    0.000 typing.py:1478(<listcomp>)
      630    0.000    0.000    0.000    0.000 PngImagePlugin.py:715(_accept)
      415    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 pil.py:1(<module>)
       59    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       25    0.000    0.000    0.000    0.000 uniform.py:137(_setup_getters_and_setters)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
     1799    0.000    0.000    0.000    0.000 base.py:421(height)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
      141    0.000    0.000    0.000    0.000 typing.py:287(_deduplicate)
      177    0.000    0.000    0.000    0.000 context.py:1087(incr)
      168    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
     1799    0.000    0.000    0.000    0.000 texture.py:352(hit_box_points)
       14    0.000    0.000    0.000    0.000 subprocess.py:1641(_get_handles)
      497    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.000    0.000 shape_list.py:1(<module>)
      552    0.000    0.000    0.000    0.000 _parser.py:284(tell)
      442    0.000    0.000    0.000    0.000 enum.py:748(__delattr__)
        1    0.000    0.000    0.000    0.000 generate.py:1(<module>)
     2395    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      225    0.000    0.000    0.000    0.000 texture_atlas.py:701(<lambda>)
      708    0.000    0.000    0.000    0.000 enum.py:192(__get__)
      398    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      162    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 tileset.py:139(Tileset)
      248    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1799    0.000    0.000    0.000    0.000 base.py:403(width)
       14    0.000    0.000    0.000    0.000 subprocess.py:1257(wait)
     2511    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 collision_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ffmpeg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tileset.py:88(Tile)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      461    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 bb.py:1(<module>)
      315    0.000    0.000    0.000    0.000 TiffImagePlugin.py:272(_accept)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        1    0.000    0.000    0.000    0.000 texture.py:16(Texture2D)
        2    0.000    0.000    0.000    0.000 event.py:161(push_handlers)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 space.py:44(Space)
       88    0.000    0.000    0.000    0.000 dataclasses.py:827(_set_new_attribute)
        1    0.000    0.000    0.000    0.000 shader.py:320(create_ubo)
       34    0.000    0.000    0.000    0.000 enum.py:943(_get_mixins_)
        1    0.000    0.000    0.000    0.000 uniform.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:168(_create_xdnd_atoms)
      340    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      323    0.000    0.000    0.000    0.000 ImageMode.py:36(getmode)
       14    0.000    0.000    0.000    0.000 subprocess.py:1965(_wait)
        2    0.000    0.000    0.000    0.000 event.py:208(set_handlers)
        1    0.000    0.000    0.000    0.000 key.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
      315    0.000    0.000    0.000    0.000 {method 'getpalette' of 'ImagingCore' objects}
     1012    0.000    0.000    0.000    0.000 util.py:14(<genexpr>)
        1    0.000    0.000    0.000    0.000 constraints.py:86(Constraint)
        1    0.000    0.000    0.000    0.000 pymunk_physics_engine.py:30(PymunkPhysicsEngine)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       11    0.000    0.000    0.000    0.000 freetype.py:341(_create_font_face)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       15    0.000    0.000    0.000    0.000 typing.py:989(__init__)
       76    0.000    0.000    0.000    0.000 inspect.py:2682(__init__)
      159    0.000    0.000    0.000    0.000 _make.py:2690(__init__)
       46    0.000    0.000    0.000    0.000 context.py:1272(get)
      127    0.000    0.000    0.000    0.000 typing.py:1264(__getattr__)
        1    0.000    0.000    0.000    0.000 camera.py:20(SimpleCamera)
        1    0.000    0.000    0.000    0.000 _callbacks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sprite_list.py:53(SpriteList)
      471    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
       12    0.000    0.000    0.000    0.000 typing.py:1578(copy_with)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        3    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
     2639    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       31    0.000    0.000    0.000    0.000 inspect.py:2968(__init__)
       97    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        1    0.000    0.000    0.000    0.000 spatial_hash.py:1(<module>)
       40    0.000    0.000    0.000    0.000 texture.py:783(use)
      310    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      315    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
       11    0.000    0.000    0.000    0.000 program.py:427(_introspect_uniform_blocks)
      630    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
       22    0.000    0.000    0.000    0.000 dataclasses.py:394(_recursive_repr)
       22    0.000    0.000    0.000    0.000 event.py:178(_get_handlers)
      334    0.000    0.000    0.000    0.000 wang_set.py:57(_parse_wang_tile)
        1    0.000    0.000    0.000    0.000 texture.py:53(TextureCache)
        1    0.000    0.000    0.000    0.000 _pickle.py:1(<module>)
     1066    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 shader.py:471(_link_program)
        4    0.000    0.000    0.000    0.000 xlib.py:118(get_screens)
       15    0.000    0.000    0.000    0.000 inspect.py:2045(_signature_bound_method)
     1022    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       35    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 tiled_object.py:138(Tile)
      360    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      315    0.000    0.000    0.000    0.000 BmpImagePlugin.py:51(_accept)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(set_data)
      315    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        2    0.000    0.000    0.000    0.000 window_commands.py:84(set_viewport)
       12    0.000    0.000    0.000    0.000 freetype_lib.py:475(_error_handling)
        1    0.000    0.000    0.000    0.000 transform.py:7(Transform)
      185    0.000    0.000    0.000    0.000 _make.py:1030(<genexpr>)
       27    0.000    0.000    0.000    0.000 program.py:276(__setitem__)
        1    0.000    0.000    0.000    0.000 physics_engines.py:1(<module>)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      194    0.000    0.000    0.000    0.000 enum.py:1094(__new__)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
       32    0.000    0.000    0.000    0.000 typing.py:1606(<genexpr>)
        2    0.000    0.000    0.000    0.000 xlib.py:152(select)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_write_atomic)
       24    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:916(dispatch_pending_events)
        1    0.000    0.000    0.000    0.000 vertex_array.py:404(Geometry)
        1    0.000    0.000    0.000    0.000 context.py:25(ArcadeContext)
        1    0.000    0.000    0.000    0.000 sections.py:12(Section)
        1    0.000    0.000    0.000    0.000 camera.py:293(Camera)
       55    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
        1    0.000    0.000    0.000    0.000 window_commands.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        9    0.000    0.000    0.000    0.000 __init__.py:489(switch_to)
        1    0.000    0.000    0.000    0.000 shadertoy.py:30(ShadertoyBase)
       26    0.000    0.000    0.000    0.000 {built-in method def_extern_decorator}
       56    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
        1    0.000    0.000    0.000    0.000 application.py:938(clear)
        1    0.000    0.000    0.000    0.000 gstreamer.py:1(<module>)
      945    0.000    0.000    0.000    0.000 {method 'islower' of 'bytes' objects}
      469    0.000    0.000    0.000    0.000 typing.py:865(__eq__)
        1    0.000    0.000    0.000    0.000 fontconfig.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _make.py:386(_has_own_attribute)
      315    0.000    0.000    0.000    0.000 GifImagePlugin.py:54(_accept)
        1    0.000    0.000    0.000    0.000 application.py:221(clear)
        1    0.000    0.000    0.000    0.000 shader.py:399(__init__)
       14    0.000    0.000    0.000    0.000 subprocess.py:1952(_try_wait)
      782    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    70/53    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       29    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
      344    0.000    0.000    0.000    0.000 typing.py:1629(__eq__)
        1    0.000    0.000    0.000    0.000 texture_atlas.py:751(clear)
       17    0.000    0.000    0.000    0.000 enum.py:1007(_find_new_)
        1    0.000    0.000    0.000    0.000 collision_handler.py:16(CollisionHandler)
     1051    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 program.py:1(<module>)
      430    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
        2    0.000    0.000    0.000    0.000 __init__.py:834(_set_atoms_property)
        1    0.000    0.000    0.000    0.000 glsl.py:1(<module>)
      508    0.000    0.000    0.000    0.000 texture_atlas.py:615(get_image_region_info)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyogg.py:1(<module>)
        6    0.000    0.000    0.000    0.000 framebuffer.py:317(use)
      823    0.000    0.000    0.000    0.000 typing.py:1335(<genexpr>)
        8    0.000    0.000    0.000    0.000 glx_info.py:62(get_server_version)
        2    0.000    0.000    0.000    0.000 simple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 layer.py:22(Layer)
        1    0.000    0.000    0.000    0.000 framebuffer.py:345(clear)
        3    0.000    0.000    0.000    0.000 context.py:274(projection_2d)
     1016    0.000    0.000    0.000    0.000 texture_atlas.py:357(border)
        2    0.000    0.000    0.000    0.000 _make.py:1697(_add_hash)
      171    0.000    0.000    0.000    0.000 typing.py:2369(get_origin)
      376    0.000    0.000    0.000    0.000 _make.py:1134(decide_callable_or_boolean)
        5    0.000    0.000    0.000    0.000 texture.py:199(_texture_2d)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
       15    0.000    0.000    0.000    0.000 typing.py:915(__init__)
        1    0.000    0.000    0.000    0.000 ui_manager.py:1(<module>)
        6    0.000    0.000    0.000    0.000 application.py:779(switch_to)
       21    0.000    0.000    0.000    0.000 layer.py:202(_parse_common)
        1    0.000    0.000    0.000    0.000 application.py:783(set_caption)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      402    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        1    0.000    0.000    0.000    0.000 shape_filter.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
       24    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
      122    0.000    0.000    0.000    0.000 _make.py:1613(_generate_unique_filename)
       15    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:999(source_to_code)
       51    0.000    0.000    0.000    0.000 enum.py:933(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 vertexbuffer.py:147(__init__)
        6    0.000    0.000    0.000    0.000 framebuffer.py:326(_use)
      327    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        1    0.000    0.000    0.000    0.000 synthesis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 application.py:666(show_view)
       38    0.000    0.000    0.000    0.000 _make.py:991(add_match_args)
        1    0.000    0.000    0.000    0.000 application.py:531(on_resize)
      565    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      315    0.000    0.000    0.000    0.000 PpmImagePlugin.py:45(_accept)
        1    0.000    0.000    0.000    0.000 bmp.py:1(<module>)
      315    0.000    0.000    0.000    0.000 PngImagePlugin.py:163(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
     1641    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 enum.py:911(<listcomp>)
        1    0.000    0.000    0.000    0.000 sections.py:307(SectionManager)
        1    0.000    0.000    0.000    0.000 texture.py:117(Texture)
       15    0.000    0.000    0.000    0.000 inspect.py:3038(replace)
       28    0.000    0.000    0.000    0.000 subprocess.py:1133(_get_devnull)
       18    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        5    0.000    0.000    0.000    0.000 shader.py:424(__exit__)
        9    0.000    0.000    0.000    0.000 program.py:461(_query_uniform_block)
        1    0.000    0.000    0.000    0.000 hit_box.py:24(HitBoxCache)
        1    0.000    0.000    0.000    0.000 _make.py:2587(<listcomp>)
        1    0.000    0.000    0.000    0.000 glsl.py:10(ShaderSource)
        3    0.000    0.000    0.000    0.000 base.py:65(get_default_screen)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _make.py:402(_get_annotations)
        1    0.000    0.000    0.000    0.000 loading.py:1(<module>)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       19    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
       28    0.000    0.000    0.000    0.000 contextlib.py:506(callback)
        2    0.000    0.000    0.000    0.000 utils.py:25(is_raspberry_pi)
       14    0.000    0.000    0.000    0.000 contextlib.py:543(__exit__)
       59    0.000    0.000    0.000    0.000 typing.py:1634(__hash__)
        4    0.000    0.000    0.000    0.000 __init__.py:950(projection)
        1    0.000    0.000    0.000    0.000 layer.py:104(TileLayer)
        2    0.000    0.000    0.000    0.000 utils.py:34(get_raspberry_pi_info)
        1    0.000    0.000    0.000    0.000 text.py:100(Text)
       34    0.000    0.000    0.000    0.000 enum.py:979(_find_data_type_)
        1    0.000    0.000    0.000    0.000 application.py:623(set_viewport)
      309    0.000    0.000    0.000    0.000 _parser.py:79(groups)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:1493(__or__)
      385    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      315    0.000    0.000    0.000    0.000 PngImagePlugin.py:194(close)
       68    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        1    0.000    0.000    0.000    0.000 types.py:152(BufferDescription)
        1    0.000    0.000    0.000    0.000 program.py:25(Program)
      719    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 compute_shader.py:12(ComputeShader)
        1    0.000    0.000    0.000    0.000 autogeometry.py:167(PolylineSet)
        1    0.000    0.000    0.000    0.000 earclip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 framebuffer.py:16(Framebuffer)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
      289    0.000    0.000    0.000    0.000 {method 'putpalettealphas' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 property.py:1(<module>)
      315    0.000    0.000    0.000    0.000 JpegImagePlugin.py:337(_accept)
        1    0.000    0.000    0.000    0.000 vec2d.py:62(Vec2d)
       31    0.000    0.000    0.000    0.000 inspect.py:735(unwrap)
        1    0.000    0.000    0.000    0.000 image_data.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       84    0.000    0.000    0.000    0.000 <frozen os>:806(fsencode)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       37    0.000    0.000    0.000    0.000 _make.py:1764(_make_order)
      360    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 constraints.py:439(PivotJoint)
       96    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      315    0.000    0.000    0.000    0.000 ImageFile.py:232(<lambda>)
        5    0.000    0.000    0.000    0.000 __init__.py:248(__init__)
        1    0.000    0.000    0.000    0.000 surface.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _make.py:1193(attrs)
       44    0.000    0.000    0.000    0.000 dataclasses.py:380(_tuple_str)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        1    0.000    0.000    0.000    0.000 vertex_array.py:17(VertexArray)
       56    0.000    0.000    0.000    0.000 {built-in method posix.close}
      304    0.000    0.000    0.000    0.000 _make.py:1838(<genexpr>)
      548    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 layer.py:167(LayerGroup)
       19    0.000    0.000    0.000    0.000 program.py:323(use)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      185    0.000    0.000    0.000    0.000 _make.py:2379(_default_init_alias_for)
       13    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       18    0.000    0.000    0.000    0.000 uniform.py:218(setter_func)
        1    0.000    0.000    0.000    0.000 shader.py:552(_introspect_uniform_blocks)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       14    0.000    0.000    0.000    0.000 _make.py:800(<dictcomp>)
        1    0.000    0.000    0.000    0.000 shapes.py:24(Shape)
        1    0.000    0.000    0.000    0.000 tiled_map.py:18(TiledMap)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:430(ImageFileDirectory_v2)
       20    0.000    0.000    0.000    0.000 weakref.py:46(__new__)
      315    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
       84    0.000    0.000    0.000    0.000 pathlib.py:516(_from_parsed_parts)
       74    0.000    0.000    0.000    0.000 dataclasses.py:449(_field_init)
        4    0.000    0.000    0.000    0.000 framebuffer.py:303(activate)
       37    0.000    0.000    0.000    0.000 enum.py:773(__getattr__)
        1    0.000    0.000    0.000    0.000 shader.py:335(_introspect_uniforms)
      105    0.000    0.000    0.000    0.000 inspect.py:1451(repl)
       88    0.000    0.000    0.000    0.000 dataclasses.py:820(_set_qualname)
        1    0.000    0.000    0.000    0.000 image_data.py:8(ImageDataCache)
       38    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       13    0.000    0.000    0.000    0.000 freetype_lib.py:473(_get_function_with_error_handling)
       46    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 buffer.py:14(Buffer)
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
       22    0.000    0.000    0.000    0.000 dataclasses.py:371(_fields_in_init_order)
       14    0.000    0.000    0.000    0.000 freetype_lib.py:10(_get_function)
      118    0.000    0.000    0.000    0.000 types.py:130(__init__)
        1    0.000    0.000    0.000    0.000 arbiter.py:15(Arbiter)
        1    0.000    0.000    0.000    0.000 ui_manager.py:37(UIManager)
       20    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
        1    0.000    0.000    0.000    0.000 evdev.py:302(EvdevDevice)
        1    0.000    0.000    0.000    0.000 base.py:46(Sprite)
       19    0.000    0.000    0.000    0.000 context.py:394(enable)
        1    0.000    0.000    0.000    0.000 runlist.py:1(<module>)
        8    0.000    0.000    0.000    0.000 contextlib.py:257(contextmanager)
        1    0.000    0.000    0.000    0.000 query_info.py:11(PointQueryInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:46(add_resource_handle)
        1    0.000    0.000    0.000    0.000 __init__.py:93(XlibWindow)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 _compat.py:37(__init__)
      340    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
        1    0.000    0.000    0.000    0.000 shapes.py:557(Poly)
      309    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 texture.py:10(TextureBucket)
       19    0.000    0.000    0.000    0.000 context.py:610(blend_func)
        2    0.000    0.000    0.000    0.000 event.py:1(<module>)
       42    0.000    0.000    0.000    0.000 dataclasses.py:347(field)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:32(TiledObject)
        1    0.000    0.000    0.000    0.000 shader.py:454(_introspect_attributes)
       16    0.000    0.000    0.000    0.000 _make.py:1652(append_hash_computation_lines)
        1    0.000    0.000    0.000    0.000 clock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glx_info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
